frame,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z
1,0.545,0.518,-0.544,0.583,0.452,-0.505,0.497,0.461,-0.503,0.753,0.971,-0.173,0.331,0.922,-0.223
2,0.545,0.523,-0.562,0.582,0.453,-0.519,0.497,0.462,-0.52,0.752,0.97,-0.16,0.33,0.92,-0.235
3,0.545,0.524,-0.574,0.581,0.453,-0.53,0.497,0.463,-0.532,0.75,0.968,-0.157,0.33,0.916,-0.245
4,0.544,0.525,-0.581,0.58,0.453,-0.537,0.497,0.463,-0.539,0.749,0.968,-0.15,0.329,0.913,-0.257
5,0.543,0.526,-0.58,0.579,0.454,-0.537,0.497,0.463,-0.539,0.747,0.965,-0.144,0.329,0.912,-0.258
6,0.543,0.528,-0.582,0.579,0.455,-0.539,0.497,0.464,-0.541,0.744,0.963,-0.143,0.328,0.909,-0.259
7,0.542,0.528,-0.589,0.578,0.455,-0.546,0.497,0.464,-0.549,0.744,0.962,-0.145,0.328,0.907,-0.264
8,0.542,0.528,-0.594,0.578,0.454,-0.554,0.497,0.464,-0.553,0.743,0.962,-0.171,0.328,0.906,-0.262
9,0.542,0.528,-0.598,0.578,0.454,-0.557,0.497,0.464,-0.557,0.743,0.962,-0.174,0.327,0.905,-0.261
10,0.541,0.528,-0.609,0.578,0.454,-0.571,0.497,0.464,-0.568,0.744,0.962,-0.191,0.327,0.905,-0.262
11,0.541,0.528,-0.62,0.578,0.454,-0.58,0.497,0.463,-0.579,0.744,0.962,-0.192,0.327,0.905,-0.273
12,0.541,0.528,-0.634,0.577,0.453,-0.595,0.496,0.463,-0.593,0.744,0.962,-0.21,0.327,0.905,-0.276
13,0.541,0.528,-0.648,0.577,0.453,-0.609,0.496,0.464,-0.607,0.745,0.962,-0.216,0.327,0.906,-0.287
14,0.541,0.529,-0.641,0.577,0.454,-0.601,0.496,0.464,-0.6,0.745,0.962,-0.211,0.326,0.909,-0.285
15,0.541,0.529,-0.64,0.577,0.454,-0.6,0.496,0.464,-0.598,0.745,0.961,-0.206,0.326,0.91,-0.283
16,0.541,0.529,-0.644,0.577,0.454,-0.604,0.496,0.464,-0.603,0.745,0.961,-0.208,0.326,0.911,-0.29
17,0.541,0.53,-0.643,0.577,0.454,-0.604,0.496,0.464,-0.603,0.745,0.961,-0.211,0.326,0.912,-0.291
18,0.541,0.53,-0.649,0.577,0.454,-0.609,0.496,0.464,-0.608,0.745,0.961,-0.218,0.326,0.912,-0.295
19,0.541,0.53,-0.647,0.577,0.454,-0.607,0.496,0.464,-0.606,0.745,0.961,-0.216,0.326,0.913,-0.294
20,0.541,0.53,-0.647,0.577,0.454,-0.607,0.496,0.464,-0.606,0.745,0.961,-0.215,0.325,0.912,-0.294
21,0.541,0.529,-0.633,0.577,0.453,-0.594,0.496,0.464,-0.593,0.745,0.96,-0.209,0.325,0.911,-0.282
22,0.541,0.529,-0.629,0.577,0.453,-0.591,0.496,0.464,-0.591,0.744,0.96,-0.206,0.325,0.911,-0.278
23,0.541,0.529,-0.626,0.577,0.453,-0.586,0.496,0.464,-0.587,0.744,0.96,-0.198,0.323,0.912,-0.277
24,0.541,0.528,-0.63,0.577,0.453,-0.589,0.496,0.463,-0.591,0.744,0.96,-0.197,0.322,0.913,-0.283
25,0.541,0.528,-0.639,0.577,0.453,-0.595,0.496,0.463,-0.599,0.744,0.959,-0.191,0.321,0.919,-0.297
26,0.541,0.528,-0.649,0.577,0.453,-0.604,0.496,0.463,-0.608,0.745,0.959,-0.202,0.318,0.922,-0.298
27,0.541,0.528,-0.649,0.577,0.453,-0.605,0.496,0.463,-0.609,0.745,0.959,-0.202,0.317,0.922,-0.303
28,0.541,0.528,-0.653,0.577,0.452,-0.609,0.496,0.463,-0.613,0.745,0.959,-0.205,0.315,0.922,-0.305
29,0.541,0.528,-0.664,0.577,0.452,-0.619,0.496,0.463,-0.626,0.745,0.96,-0.205,0.312,0.923,-0.323
30,0.541,0.528,-0.663,0.577,0.452,-0.619,0.495,0.463,-0.624,0.745,0.96,-0.206,0.31,0.923,-0.319
31,0.541,0.528,-0.659,0.577,0.452,-0.614,0.495,0.463,-0.62,0.745,0.96,-0.203,0.309,0.923,-0.318
32,0.541,0.528,-0.661,0.577,0.452,-0.616,0.494,0.463,-0.622,0.745,0.96,-0.203,0.309,0.923,-0.317
33,0.54,0.528,-0.679,0.576,0.452,-0.634,0.494,0.463,-0.639,0.745,0.96,-0.211,0.309,0.923,-0.323
34,0.54,0.529,-0.676,0.576,0.453,-0.632,0.494,0.464,-0.636,0.745,0.96,-0.211,0.309,0.923,-0.323
35,0.54,0.529,-0.675,0.576,0.453,-0.63,0.494,0.464,-0.634,0.745,0.96,-0.21,0.309,0.922,-0.322
36,0.539,0.529,-0.675,0.575,0.453,-0.63,0.493,0.464,-0.634,0.744,0.96,-0.208,0.309,0.921,-0.325
37,0.539,0.529,-0.678,0.575,0.452,-0.632,0.493,0.464,-0.636,0.745,0.96,-0.209,0.31,0.921,-0.324
38,0.539,0.528,-0.706,0.575,0.452,-0.658,0.493,0.464,-0.661,0.746,0.96,-0.215,0.31,0.921,-0.33
39,0.538,0.528,-0.715,0.575,0.452,-0.665,0.493,0.464,-0.671,0.745,0.96,-0.205,0.31,0.92,-0.338
40,0.538,0.528,-0.737,0.575,0.452,-0.687,0.492,0.463,-0.693,0.746,0.96,-0.209,0.31,0.92,-0.346
41,0.538,0.528,-0.725,0.575,0.452,-0.676,0.492,0.463,-0.682,0.746,0.96,-0.208,0.31,0.92,-0.345
42,0.538,0.528,-0.724,0.575,0.452,-0.675,0.492,0.463,-0.68,0.746,0.96,-0.208,0.31,0.92,-0.343
43,0.538,0.527,-0.723,0.575,0.451,-0.674,0.492,0.463,-0.68,0.746,0.96,-0.208,0.311,0.92,-0.344
44,0.537,0.527,-0.798,0.575,0.451,-0.743,0.492,0.463,-0.753,0.746,0.96,-0.211,0.311,0.921,-0.366
45,0.537,0.527,-0.8,0.574,0.452,-0.746,0.491,0.463,-0.756,0.746,0.959,-0.211,0.311,0.921,-0.372
46,0.537,0.528,-0.783,0.574,0.453,-0.731,0.491,0.464,-0.74,0.744,0.959,-0.211,0.31,0.922,-0.37
47,0.537,0.529,-0.701,0.574,0.453,-0.655,0.491,0.464,-0.662,0.741,0.959,-0.206,0.309,0.922,-0.338
48,0.537,0.529,-0.731,0.574,0.454,-0.68,0.491,0.464,-0.692,0.74,0.959,-0.19,0.309,0.923,-0.348
49,0.537,0.53,-0.726,0.574,0.454,-0.677,0.491,0.464,-0.686,0.738,0.958,-0.2,0.309,0.923,-0.344
50,0.536,0.529,-0.719,0.574,0.454,-0.671,0.49,0.464,-0.679,0.738,0.958,-0.199,0.309,0.923,-0.343
51,0.536,0.529,-0.714,0.574,0.454,-0.665,0.49,0.464,-0.673,0.738,0.957,-0.189,0.309,0.923,-0.339
52,0.535,0.529,-0.681,0.574,0.454,-0.637,0.489,0.464,-0.64,0.738,0.957,-0.2,0.309,0.923,-0.322
53,0.535,0.529,-0.667,0.573,0.454,-0.623,0.489,0.464,-0.626,0.738,0.957,-0.2,0.31,0.923,-0.319
54,0.535,0.529,-0.66,0.573,0.454,-0.617,0.489,0.464,-0.62,0.738,0.956,-0.203,0.311,0.922,-0.31
55,0.534,0.529,-0.661,0.573,0.454,-0.618,0.489,0.465,-0.62,0.738,0.956,-0.204,0.312,0.922,-0.31
56,0.534,0.529,-0.672,0.573,0.453,-0.626,0.489,0.464,-0.631,0.738,0.955,-0.2,0.312,0.922,-0.316
57,0.534,0.528,-0.76,0.573,0.453,-0.705,0.489,0.464,-0.712,0.738,0.956,-0.213,0.313,0.922,-0.344
58,0.534,0.527,-0.763,0.573,0.451,-0.708,0.488,0.463,-0.716,0.739,0.956,-0.211,0.313,0.922,-0.352
59,0.534,0.527,-0.686,0.572,0.451,-0.643,0.488,0.463,-0.64,0.742,0.957,-0.22,0.314,0.922,-0.319
60,0.534,0.527,-0.666,0.572,0.451,-0.623,0.488,0.463,-0.62,0.743,0.957,-0.22,0.314,0.922,-0.307
61,0.533,0.526,-0.673,0.572,0.449,-0.629,0.487,0.462,-0.628,0.745,0.957,-0.229,0.315,0.922,-0.308
62,0.533,0.526,-0.677,0.572,0.449,-0.633,0.487,0.462,-0.632,0.745,0.957,-0.23,0.316,0.922,-0.309
63,0.533,0.526,-0.718,0.572,0.45,-0.671,0.487,0.462,-0.67,0.745,0.957,-0.239,0.316,0.922,-0.316
64,0.533,0.526,-0.716,0.572,0.45,-0.67,0.487,0.462,-0.669,0.746,0.957,-0.241,0.316,0.922,-0.319
65,0.533,0.526,-0.734,0.572,0.45,-0.687,0.487,0.462,-0.688,0.746,0.957,-0.239,0.317,0.922,-0.326
66,0.533,0.527,-0.749,0.572,0.451,-0.701,0.487,0.463,-0.703,0.746,0.957,-0.239,0.317,0.923,-0.338
67,0.533,0.527,-0.745,0.572,0.451,-0.696,0.488,0.463,-0.699,0.746,0.957,-0.241,0.317,0.922,-0.337
68,0.533,0.527,-0.757,0.572,0.451,-0.709,0.488,0.463,-0.711,0.746,0.957,-0.248,0.317,0.923,-0.342
69,0.533,0.527,-0.751,0.573,0.451,-0.704,0.488,0.463,-0.705,0.745,0.957,-0.247,0.317,0.923,-0.342
70,0.533,0.527,-0.75,0.573,0.451,-0.703,0.488,0.463,-0.704,0.746,0.957,-0.249,0.318,0.923,-0.342
71,0.534,0.527,-0.748,0.573,0.451,-0.701,0.489,0.463,-0.702,0.746,0.957,-0.247,0.318,0.923,-0.342
72,0.534,0.527,-0.746,0.573,0.451,-0.7,0.489,0.463,-0.701,0.746,0.958,-0.245,0.318,0.923,-0.337
73,0.534,0.527,-0.716,0.574,0.451,-0.672,0.49,0.462,-0.672,0.746,0.958,-0.243,0.318,0.923,-0.324
74,0.534,0.527,-0.709,0.574,0.452,-0.664,0.49,0.462,-0.664,0.745,0.958,-0.24,0.318,0.923,-0.322
75,0.535,0.527,-0.711,0.574,0.452,-0.666,0.49,0.462,-0.666,0.745,0.957,-0.237,0.318,0.923,-0.322
76,0.535,0.527,-0.7,0.574,0.452,-0.655,0.491,0.462,-0.655,0.746,0.957,-0.232,0.319,0.923,-0.317
77,0.535,0.527,-0.711,0.574,0.452,-0.664,0.491,0.462,-0.667,0.746,0.957,-0.225,0.319,0.923,-0.318
78,0.535,0.527,-0.691,0.574,0.452,-0.646,0.492,0.462,-0.647,0.745,0.957,-0.22,0.319,0.923,-0.311
79,0.536,0.527,-0.693,0.574,0.452,-0.647,0.492,0.462,-0.649,0.745,0.957,-0.222,0.32,0.923,-0.312
80,0.536,0.526,-0.696,0.574,0.452,-0.65,0.492,0.462,-0.652,0.745,0.957,-0.223,0.32,0.923,-0.312
81,0.536,0.526,-0.696,0.574,0.452,-0.651,0.492,0.462,-0.652,0.745,0.957,-0.222,0.32,0.923,-0.311
82,0.536,0.526,-0.715,0.574,0.452,-0.665,0.492,0.462,-0.67,0.745,0.957,-0.212,0.319,0.924,-0.317
83,0.536,0.526,-0.702,0.575,0.452,-0.656,0.492,0.462,-0.658,0.745,0.957,-0.212,0.319,0.924,-0.313
84,0.536,0.526,-0.732,0.575,0.453,-0.682,0.492,0.462,-0.688,0.745,0.957,-0.21,0.319,0.924,-0.325
85,0.536,0.526,-0.737,0.575,0.453,-0.689,0.492,0.462,-0.692,0.745,0.957,-0.218,0.319,0.924,-0.326
86,0.536,0.526,-0.734,0.575,0.453,-0.686,0.493,0.462,-0.69,0.745,0.957,-0.214,0.318,0.923,-0.326
