frame,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z
1,0.565,0.398,-1.074,0.61,0.32,-1.01,0.517,0.319,-1.02,0.766,0.814,-0.336,0.328,0.825,-0.444
2,0.569,0.398,-1.074,0.611,0.319,-1.01,0.519,0.318,-1.02,0.766,0.814,-0.337,0.327,0.826,-0.417
3,0.57,0.397,-1.085,0.612,0.318,-1.02,0.52,0.317,-1.028,0.766,0.815,-0.344,0.326,0.826,-0.413
4,0.57,0.397,-1.101,0.612,0.318,-1.038,0.52,0.316,-1.046,0.766,0.815,-0.357,0.325,0.826,-0.416
5,0.57,0.396,-1.126,0.612,0.317,-1.065,0.52,0.316,-1.073,0.766,0.815,-0.372,0.325,0.823,-0.419
6,0.57,0.396,-1.12,0.613,0.316,-1.059,0.52,0.315,-1.067,0.766,0.815,-0.371,0.325,0.821,-0.42
7,0.57,0.396,-1.114,0.613,0.316,-1.054,0.52,0.314,-1.063,0.766,0.815,-0.363,0.325,0.82,-0.422
8,0.57,0.396,-1.101,0.613,0.315,-1.039,0.519,0.313,-1.051,0.767,0.816,-0.343,0.324,0.82,-0.425
9,0.57,0.396,-1.094,0.613,0.315,-1.031,0.519,0.313,-1.045,0.768,0.816,-0.33,0.324,0.82,-0.425
10,0.57,0.396,-1.094,0.613,0.314,-1.031,0.519,0.312,-1.045,0.769,0.818,-0.331,0.324,0.82,-0.426
11,0.57,0.396,-1.096,0.613,0.314,-1.033,0.519,0.312,-1.047,0.77,0.818,-0.331,0.324,0.82,-0.435
12,0.57,0.396,-1.118,0.614,0.314,-1.054,0.519,0.312,-1.067,0.771,0.819,-0.345,0.324,0.821,-0.449
13,0.57,0.396,-1.117,0.614,0.313,-1.05,0.519,0.311,-1.065,0.772,0.821,-0.338,0.324,0.822,-0.449
14,0.571,0.396,-1.139,0.614,0.313,-1.073,0.52,0.311,-1.088,0.772,0.819,-0.345,0.325,0.822,-0.457
15,0.571,0.396,-1.133,0.614,0.313,-1.067,0.52,0.311,-1.082,0.772,0.819,-0.345,0.327,0.821,-0.456
16,0.571,0.396,-1.127,0.614,0.313,-1.061,0.52,0.311,-1.076,0.773,0.819,-0.342,0.327,0.821,-0.454
17,0.572,0.395,-1.123,0.615,0.313,-1.058,0.521,0.311,-1.073,0.771,0.811,-0.341,0.327,0.82,-0.441
18,0.572,0.395,-1.092,0.615,0.311,-1.029,0.521,0.311,-1.043,0.771,0.81,-0.332,0.327,0.82,-0.434
19,0.573,0.393,-1.063,0.615,0.308,-1.0,0.521,0.309,-1.015,0.769,0.807,-0.319,0.327,0.82,-0.429
20,0.573,0.392,-1.061,0.615,0.306,-0.998,0.521,0.309,-1.011,0.769,0.807,-0.318,0.326,0.82,-0.425
21,0.572,0.391,-1.053,0.615,0.304,-0.989,0.52,0.308,-1.002,0.769,0.807,-0.315,0.325,0.821,-0.421
22,0.572,0.39,-1.03,0.615,0.304,-0.967,0.519,0.307,-0.982,0.768,0.805,-0.294,0.324,0.823,-0.417
23,0.572,0.389,-1.031,0.614,0.302,-0.969,0.518,0.306,-0.982,0.767,0.805,-0.298,0.323,0.823,-0.415
24,0.571,0.389,-1.027,0.614,0.302,-0.964,0.518,0.306,-0.978,0.766,0.805,-0.298,0.322,0.823,-0.412
25,0.571,0.389,-1.032,0.614,0.302,-0.97,0.518,0.306,-0.983,0.765,0.804,-0.3,0.321,0.823,-0.413
26,0.571,0.389,-1.035,0.614,0.302,-0.972,0.518,0.306,-0.986,0.765,0.804,-0.303,0.321,0.823,-0.416
27,0.571,0.389,-1.038,0.614,0.302,-0.975,0.518,0.306,-0.988,0.764,0.804,-0.306,0.321,0.823,-0.416
28,0.571,0.388,-1.069,0.614,0.302,-1.007,0.518,0.306,-1.019,0.763,0.803,-0.338,0.321,0.823,-0.426
29,0.571,0.388,-1.068,0.614,0.302,-1.005,0.518,0.306,-1.018,0.763,0.803,-0.335,0.321,0.823,-0.427
30,0.571,0.388,-1.085,0.614,0.302,-1.021,0.518,0.305,-1.034,0.763,0.803,-0.345,0.321,0.823,-0.437
31,0.571,0.388,-1.072,0.614,0.301,-1.009,0.518,0.305,-1.021,0.765,0.803,-0.334,0.321,0.823,-0.436
32,0.571,0.388,-1.071,0.614,0.301,-1.008,0.518,0.305,-1.021,0.768,0.805,-0.333,0.323,0.822,-0.436
33,0.571,0.388,-1.088,0.614,0.302,-1.026,0.518,0.306,-1.038,0.771,0.808,-0.346,0.325,0.822,-0.442
34,0.571,0.389,-1.111,0.614,0.303,-1.05,0.519,0.306,-1.062,0.774,0.808,-0.365,0.327,0.822,-0.452
35,0.572,0.39,-1.124,0.614,0.304,-1.062,0.519,0.307,-1.076,0.775,0.807,-0.362,0.328,0.822,-0.455
36,0.572,0.39,-1.14,0.614,0.304,-1.08,0.52,0.307,-1.092,0.775,0.805,-0.37,0.329,0.822,-0.457
37,0.572,0.39,-1.13,0.614,0.305,-1.069,0.52,0.308,-1.082,0.775,0.805,-0.367,0.33,0.821,-0.456
38,0.572,0.391,-1.073,0.614,0.305,-1.016,0.52,0.308,-1.027,0.775,0.804,-0.343,0.33,0.821,-0.43
39,0.572,0.391,-1.061,0.614,0.305,-1.001,0.52,0.308,-1.013,0.775,0.806,-0.335,0.331,0.821,-0.425
40,0.572,0.391,-1.1,0.614,0.305,-1.039,0.52,0.308,-1.049,0.775,0.807,-0.35,0.331,0.821,-0.431
41,0.573,0.391,-1.092,0.614,0.305,-1.029,0.52,0.308,-1.041,0.775,0.807,-0.345,0.331,0.821,-0.429
42,0.573,0.39,-1.092,0.614,0.305,-1.029,0.52,0.307,-1.041,0.775,0.809,-0.345,0.331,0.821,-0.436
43,0.573,0.389,-1.083,0.615,0.304,-1.019,0.521,0.307,-1.032,0.775,0.812,-0.337,0.331,0.821,-0.437
44,0.573,0.388,-1.079,0.615,0.303,-1.014,0.52,0.306,-1.028,0.774,0.812,-0.335,0.331,0.821,-0.436
45,0.573,0.388,-1.044,0.615,0.302,-0.98,0.52,0.305,-0.992,0.774,0.814,-0.326,0.331,0.82,-0.435
46,0.573,0.388,-1.037,0.615,0.302,-0.974,0.52,0.305,-0.987,0.773,0.816,-0.326,0.33,0.82,-0.434
47,0.573,0.387,-1.043,0.615,0.301,-0.98,0.52,0.304,-0.993,0.773,0.816,-0.331,0.33,0.82,-0.436
48,0.573,0.387,-1.028,0.615,0.301,-0.968,0.52,0.304,-0.979,0.773,0.816,-0.328,0.329,0.82,-0.43
49,0.573,0.387,-1.061,0.615,0.301,-0.998,0.52,0.304,-1.009,0.773,0.816,-0.334,0.329,0.821,-0.433
50,0.572,0.387,-1.073,0.615,0.301,-1.009,0.519,0.304,-1.019,0.773,0.816,-0.34,0.328,0.821,-0.434
51,0.572,0.387,-1.071,0.615,0.301,-1.008,0.519,0.304,-1.018,0.773,0.816,-0.34,0.328,0.821,-0.435
52,0.572,0.387,-1.089,0.615,0.301,-1.025,0.519,0.304,-1.035,0.773,0.817,-0.347,0.327,0.822,-0.442
53,0.572,0.387,-1.119,0.615,0.301,-1.055,0.518,0.303,-1.065,0.773,0.817,-0.367,0.326,0.822,-0.46
54,0.572,0.387,-1.091,0.615,0.3,-1.029,0.518,0.303,-1.04,0.773,0.817,-0.364,0.326,0.824,-0.459
55,0.572,0.387,-1.098,0.615,0.3,-1.035,0.518,0.303,-1.046,0.773,0.817,-0.37,0.325,0.825,-0.464
56,0.572,0.387,-1.076,0.615,0.3,-1.014,0.518,0.303,-1.026,0.773,0.818,-0.366,0.325,0.825,-0.463
57,0.572,0.387,-1.057,0.615,0.3,-0.994,0.518,0.303,-1.007,0.773,0.818,-0.354,0.325,0.825,-0.46
58,0.572,0.386,-1.092,0.615,0.3,-1.026,0.518,0.303,-1.039,0.774,0.82,-0.361,0.325,0.827,-0.471
59,0.571,0.386,-1.071,0.615,0.3,-1.008,0.517,0.303,-1.018,0.774,0.82,-0.358,0.325,0.827,-0.46
60,0.571,0.386,-1.03,0.615,0.299,-0.97,0.517,0.303,-0.98,0.774,0.82,-0.342,0.326,0.827,-0.449
61,0.571,0.387,-1.036,0.614,0.3,-0.974,0.517,0.303,-0.985,0.774,0.82,-0.335,0.326,0.827,-0.448
62,0.569,0.387,-1.04,0.612,0.301,-0.978,0.515,0.304,-0.989,0.774,0.82,-0.336,0.326,0.827,-0.442
63,0.567,0.388,-1.046,0.611,0.301,-0.987,0.515,0.304,-0.995,0.774,0.818,-0.347,0.326,0.827,-0.438
64,0.567,0.388,-1.042,0.61,0.301,-0.982,0.514,0.304,-0.991,0.774,0.818,-0.342,0.327,0.826,-0.435
65,0.567,0.388,-1.021,0.61,0.301,-0.96,0.514,0.304,-0.971,0.775,0.818,-0.326,0.327,0.826,-0.435
66,0.567,0.388,-1.026,0.61,0.301,-0.965,0.514,0.304,-0.976,0.775,0.817,-0.327,0.327,0.826,-0.435
67,0.567,0.388,-1.032,0.61,0.301,-0.971,0.514,0.304,-0.982,0.774,0.815,-0.329,0.327,0.826,-0.434
68,0.568,0.388,-1.046,0.61,0.301,-0.983,0.514,0.304,-0.995,0.774,0.815,-0.331,0.327,0.826,-0.434
69,0.568,0.387,-1.045,0.611,0.301,-0.981,0.515,0.304,-0.994,0.774,0.815,-0.329,0.327,0.825,-0.43
70,0.568,0.387,-1.043,0.611,0.301,-0.979,0.515,0.303,-0.992,0.774,0.815,-0.327,0.326,0.825,-0.429
71,0.568,0.386,-1.041,0.611,0.3,-0.976,0.515,0.302,-0.989,0.774,0.815,-0.324,0.326,0.825,-0.427
72,0.568,0.383,-1.041,0.611,0.298,-0.976,0.515,0.3,-0.988,0.775,0.816,-0.325,0.325,0.825,-0.427
73,0.568,0.382,-1.041,0.611,0.296,-0.976,0.515,0.299,-0.988,0.775,0.817,-0.325,0.325,0.825,-0.432
74,0.568,0.381,-1.045,0.611,0.294,-0.981,0.514,0.298,-0.992,0.775,0.817,-0.335,0.325,0.825,-0.432
75,0.568,0.38,-1.044,0.611,0.293,-0.981,0.514,0.298,-0.991,0.775,0.817,-0.337,0.324,0.824,-0.431
76,0.568,0.379,-1.041,0.611,0.293,-0.978,0.513,0.297,-0.988,0.775,0.817,-0.338,0.324,0.824,-0.431
77,0.568,0.378,-1.039,0.611,0.292,-0.976,0.513,0.296,-0.987,0.775,0.816,-0.338,0.324,0.825,-0.429
78,0.568,0.378,-1.024,0.611,0.292,-0.961,0.513,0.296,-0.974,0.774,0.816,-0.317,0.324,0.825,-0.423
79,0.568,0.379,-1.025,0.611,0.293,-0.963,0.513,0.297,-0.974,0.775,0.816,-0.318,0.324,0.825,-0.424
80,0.566,0.379,-1.071,0.611,0.293,-1.008,0.513,0.297,-1.016,0.775,0.816,-0.342,0.324,0.825,-0.438
81,0.565,0.379,-1.074,0.61,0.293,-1.012,0.513,0.297,-1.02,0.772,0.81,-0.346,0.324,0.824,-0.434
82,0.565,0.38,-1.07,0.61,0.295,-1.009,0.512,0.298,-1.017,0.772,0.807,-0.349,0.324,0.824,-0.424
83,0.564,0.38,-1.11,0.609,0.296,-1.047,0.512,0.298,-1.05,0.772,0.806,-0.376,0.324,0.825,-0.411
84,0.563,0.38,-1.087,0.608,0.296,-1.028,0.512,0.299,-1.031,0.77,0.806,-0.373,0.325,0.825,-0.409
85,0.562,0.38,-1.016,0.606,0.296,-0.956,0.511,0.299,-0.966,0.768,0.805,-0.313,0.325,0.822,-0.399
86,0.561,0.381,-0.97,0.606,0.3,-0.911,0.511,0.301,-0.922,0.766,0.805,-0.279,0.326,0.82,-0.384
87,0.562,0.382,-0.979,0.606,0.301,-0.917,0.512,0.302,-0.93,0.763,0.805,-0.273,0.326,0.821,-0.388
88,0.561,0.383,-0.99,0.605,0.304,-0.929,0.513,0.304,-0.941,0.759,0.805,-0.277,0.326,0.821,-0.399
89,0.559,0.388,-0.982,0.603,0.31,-0.924,0.512,0.308,-0.936,0.752,0.803,-0.284,0.326,0.821,-0.397
90,0.558,0.388,-0.921,0.602,0.31,-0.862,0.512,0.308,-0.872,0.751,0.805,-0.271,0.325,0.826,-0.382
91,0.558,0.389,-0.927,0.601,0.312,-0.867,0.512,0.31,-0.878,0.747,0.805,-0.265,0.325,0.827,-0.377
92,0.555,0.392,-0.895,0.598,0.316,-0.836,0.51,0.314,-0.847,0.747,0.806,-0.241,0.325,0.828,-0.37
93,0.554,0.395,-0.912,0.595,0.319,-0.85,0.509,0.32,-0.863,0.746,0.811,-0.229,0.325,0.831,-0.365
94,0.551,0.4,-0.923,0.592,0.323,-0.862,0.507,0.325,-0.874,0.747,0.821,-0.239,0.324,0.835,-0.368
95,0.55,0.403,-0.941,0.591,0.326,-0.879,0.506,0.328,-0.892,0.747,0.826,-0.244,0.324,0.836,-0.368
96,0.55,0.403,-0.963,0.59,0.326,-0.901,0.505,0.329,-0.914,0.747,0.829,-0.248,0.324,0.838,-0.372
97,0.549,0.404,-0.969,0.589,0.327,-0.908,0.505,0.33,-0.92,0.747,0.83,-0.254,0.325,0.838,-0.372
98,0.549,0.405,-0.991,0.589,0.328,-0.93,0.505,0.331,-0.943,0.747,0.83,-0.263,0.324,0.838,-0.378
99,0.549,0.406,-0.995,0.589,0.329,-0.933,0.505,0.332,-0.946,0.747,0.831,-0.267,0.324,0.838,-0.378
100,0.549,0.407,-0.995,0.589,0.33,-0.933,0.504,0.333,-0.946,0.747,0.831,-0.267,0.324,0.839,-0.379
101,0.549,0.408,-0.995,0.589,0.331,-0.933,0.504,0.334,-0.945,0.747,0.832,-0.269,0.324,0.838,-0.38
102,0.549,0.409,-1.015,0.589,0.331,-0.951,0.504,0.335,-0.964,0.747,0.833,-0.275,0.324,0.839,-0.391
103,0.549,0.41,-1.014,0.589,0.332,-0.951,0.504,0.335,-0.964,0.747,0.833,-0.273,0.324,0.839,-0.403
104,0.549,0.41,-1.011,0.589,0.332,-0.949,0.504,0.336,-0.962,0.747,0.834,-0.269,0.324,0.839,-0.411
105,0.549,0.411,-1.015,0.589,0.333,-0.952,0.504,0.337,-0.966,0.747,0.834,-0.268,0.325,0.839,-0.41
106,0.549,0.412,-1.013,0.589,0.333,-0.95,0.504,0.338,-0.964,0.747,0.834,-0.256,0.325,0.839,-0.409
107,0.549,0.412,-1.011,0.589,0.334,-0.948,0.504,0.338,-0.962,0.747,0.834,-0.248,0.325,0.838,-0.409
