frame,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z
0,0.552,0.239,-0.945,0.599,0.168,-0.873,0.501,0.162,-0.889,0.776,0.743,-0.189,0.297,0.735,-0.434
1,0.549,0.238,-0.951,0.596,0.166,-0.883,0.5,0.161,-0.894,0.778,0.742,-0.259,0.296,0.737,-0.444
2,0.546,0.238,-0.984,0.593,0.167,-0.917,0.499,0.162,-0.922,0.78,0.742,-0.295,0.296,0.737,-0.447
3,0.545,0.239,-0.995,0.592,0.167,-0.928,0.499,0.164,-0.932,0.781,0.745,-0.307,0.296,0.737,-0.447
4,0.544,0.239,-0.991,0.591,0.167,-0.921,0.498,0.164,-0.93,0.782,0.745,-0.297,0.296,0.736,-0.445
5,0.544,0.239,-0.996,0.591,0.167,-0.927,0.498,0.165,-0.935,0.782,0.745,-0.285,0.295,0.736,-0.451
6,0.544,0.239,-0.992,0.591,0.167,-0.923,0.498,0.165,-0.931,0.782,0.744,-0.297,0.295,0.736,-0.451
7,0.544,0.239,-0.989,0.591,0.167,-0.92,0.498,0.165,-0.929,0.783,0.745,-0.302,0.295,0.735,-0.451
8,0.544,0.239,-0.989,0.591,0.167,-0.919,0.499,0.165,-0.929,0.783,0.745,-0.304,0.295,0.734,-0.448
9,0.545,0.24,-1.008,0.591,0.167,-0.939,0.499,0.166,-0.947,0.783,0.744,-0.299,0.295,0.734,-0.447
10,0.545,0.24,-1.005,0.591,0.167,-0.936,0.499,0.166,-0.947,0.783,0.744,-0.259,0.295,0.733,-0.447
11,0.545,0.24,-0.966,0.591,0.168,-0.902,0.5,0.166,-0.911,0.783,0.744,-0.256,0.295,0.733,-0.442
12,0.546,0.241,-1.02,0.592,0.168,-0.953,0.502,0.166,-0.96,0.783,0.744,-0.278,0.296,0.732,-0.449
13,0.546,0.242,-0.977,0.593,0.169,-0.911,0.503,0.167,-0.919,0.783,0.744,-0.276,0.296,0.732,-0.434
14,0.547,0.242,-0.924,0.593,0.169,-0.862,0.504,0.167,-0.868,0.783,0.744,-0.269,0.296,0.731,-0.415
15,0.547,0.242,-0.898,0.594,0.169,-0.839,0.505,0.167,-0.842,0.783,0.744,-0.279,0.296,0.73,-0.401
16,0.547,0.242,-0.896,0.594,0.169,-0.837,0.505,0.167,-0.841,0.782,0.744,-0.28,0.296,0.73,-0.404
17,0.547,0.242,-0.915,0.594,0.169,-0.856,0.505,0.167,-0.86,0.782,0.744,-0.284,0.297,0.73,-0.407
18,0.547,0.242,-0.899,0.594,0.168,-0.841,0.505,0.167,-0.846,0.782,0.744,-0.276,0.297,0.729,-0.407
19,0.547,0.242,-0.92,0.594,0.168,-0.858,0.505,0.167,-0.868,0.782,0.744,-0.268,0.297,0.729,-0.425
20,0.547,0.243,-0.937,0.594,0.169,-0.874,0.505,0.167,-0.886,0.781,0.743,-0.258,0.297,0.728,-0.426
21,0.547,0.243,-0.921,0.593,0.169,-0.86,0.505,0.167,-0.869,0.781,0.743,-0.253,0.297,0.728,-0.416
22,0.547,0.243,-0.955,0.593,0.17,-0.89,0.505,0.168,-0.9,0.781,0.742,-0.25,0.297,0.728,-0.419
23,0.547,0.243,-0.913,0.593,0.17,-0.855,0.505,0.168,-0.861,0.781,0.742,-0.26,0.297,0.729,-0.411
24,0.546,0.243,-0.913,0.592,0.17,-0.855,0.504,0.168,-0.861,0.781,0.742,-0.263,0.298,0.729,-0.412
25,0.546,0.244,-0.915,0.592,0.17,-0.856,0.504,0.168,-0.862,0.782,0.742,-0.286,0.298,0.729,-0.403
26,0.546,0.244,-0.909,0.592,0.17,-0.851,0.504,0.169,-0.854,0.782,0.743,-0.295,0.299,0.73,-0.398
27,0.546,0.245,-0.91,0.592,0.17,-0.852,0.504,0.169,-0.856,0.783,0.744,-0.298,0.299,0.731,-0.398
28,0.546,0.245,-0.912,0.592,0.17,-0.853,0.504,0.169,-0.857,0.783,0.744,-0.297,0.299,0.731,-0.4
29,0.546,0.245,-0.853,0.592,0.17,-0.799,0.504,0.169,-0.802,0.783,0.745,-0.297,0.299,0.731,-0.393
30,0.547,0.245,-0.833,0.592,0.17,-0.78,0.504,0.169,-0.782,0.783,0.745,-0.293,0.299,0.731,-0.383
31,0.547,0.245,-0.879,0.592,0.17,-0.821,0.504,0.169,-0.823,0.784,0.745,-0.297,0.299,0.731,-0.387
32,0.547,0.244,-0.949,0.593,0.17,-0.889,0.505,0.168,-0.894,0.784,0.745,-0.307,0.299,0.731,-0.413
33,0.548,0.244,-0.948,0.594,0.17,-0.89,0.505,0.167,-0.894,0.784,0.745,-0.329,0.299,0.733,-0.429
34,0.548,0.243,-0.921,0.594,0.169,-0.868,0.505,0.167,-0.868,0.785,0.746,-0.338,0.299,0.733,-0.428
35,0.548,0.243,-0.894,0.594,0.168,-0.842,0.505,0.166,-0.841,0.785,0.746,-0.331,0.299,0.733,-0.428
36,0.547,0.242,-0.868,0.594,0.167,-0.814,0.504,0.166,-0.812,0.785,0.746,-0.328,0.299,0.734,-0.413
37,0.547,0.241,-0.852,0.594,0.166,-0.797,0.503,0.165,-0.796,0.785,0.746,-0.322,0.3,0.734,-0.406
38,0.546,0.24,-0.859,0.594,0.165,-0.804,0.501,0.165,-0.804,0.786,0.747,-0.322,0.3,0.735,-0.409
39,0.546,0.239,-0.862,0.594,0.162,-0.807,0.5,0.164,-0.807,0.786,0.748,-0.316,0.3,0.735,-0.411
40,0.546,0.238,-0.836,0.594,0.161,-0.781,0.5,0.164,-0.783,0.786,0.747,-0.293,0.3,0.738,-0.404
41,0.546,0.237,-0.811,0.594,0.161,-0.756,0.5,0.163,-0.759,0.785,0.748,-0.269,0.3,0.739,-0.387
