frame,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z
0,0.4,0.194,-0.63,0.449,0.128,-0.58,0.357,0.132,-0.585,0.602,0.689,-0.14,0.203,0.685,-0.301
1,0.398,0.195,-0.642,0.447,0.131,-0.596,0.356,0.132,-0.593,0.601,0.69,-0.209,0.204,0.684,-0.283
2,0.397,0.195,-0.644,0.446,0.131,-0.597,0.356,0.131,-0.595,0.601,0.691,-0.202,0.204,0.682,-0.283
3,0.397,0.194,-0.657,0.445,0.131,-0.608,0.355,0.131,-0.606,0.601,0.691,-0.197,0.204,0.682,-0.287
4,0.396,0.194,-0.657,0.445,0.131,-0.608,0.355,0.131,-0.606,0.6,0.691,-0.207,0.205,0.682,-0.282
5,0.395,0.195,-0.677,0.444,0.132,-0.631,0.353,0.131,-0.627,0.6,0.691,-0.231,0.205,0.682,-0.283
6,0.391,0.197,-0.686,0.441,0.132,-0.644,0.35,0.131,-0.638,0.6,0.691,-0.244,0.205,0.683,-0.283
7,0.388,0.199,-0.681,0.44,0.133,-0.637,0.347,0.131,-0.633,0.601,0.691,-0.232,0.205,0.683,-0.283
8,0.387,0.2,-0.68,0.439,0.133,-0.638,0.345,0.131,-0.633,0.601,0.692,-0.237,0.205,0.683,-0.283
9,0.385,0.202,-0.675,0.437,0.133,-0.637,0.344,0.131,-0.628,0.601,0.693,-0.235,0.205,0.683,-0.276
10,0.384,0.202,-0.666,0.437,0.134,-0.63,0.344,0.131,-0.62,0.601,0.695,-0.231,0.204,0.682,-0.272
11,0.385,0.202,-0.654,0.437,0.134,-0.616,0.344,0.131,-0.607,0.601,0.696,-0.229,0.204,0.681,-0.264
12,0.385,0.201,-0.641,0.438,0.134,-0.599,0.344,0.13,-0.592,0.601,0.696,-0.218,0.204,0.681,-0.254
13,0.386,0.2,-0.641,0.438,0.133,-0.599,0.345,0.13,-0.593,0.601,0.697,-0.219,0.205,0.681,-0.255
14,0.386,0.2,-0.646,0.438,0.134,-0.606,0.345,0.13,-0.598,0.601,0.699,-0.23,0.205,0.681,-0.257
15,0.387,0.201,-0.661,0.439,0.134,-0.619,0.346,0.132,-0.613,0.602,0.702,-0.232,0.205,0.681,-0.277
16,0.388,0.204,-0.671,0.439,0.137,-0.626,0.348,0.135,-0.623,0.602,0.703,-0.232,0.205,0.683,-0.293
17,0.39,0.209,-0.671,0.44,0.143,-0.628,0.349,0.142,-0.624,0.602,0.702,-0.231,0.205,0.683,-0.292
18,0.39,0.219,-0.664,0.44,0.155,-0.624,0.35,0.155,-0.62,0.602,0.702,-0.226,0.205,0.683,-0.282
