frame,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z
1,0.53,0.592,-0.589,0.561,0.516,-0.552,0.481,0.53,-0.553,0.74,1.014,-0.169,0.327,0.983,-0.257
2,0.529,0.593,-0.982,0.561,0.516,-0.918,0.479,0.53,-0.923,0.738,1.013,-0.283,0.326,0.982,-0.299
3,0.527,0.593,-0.995,0.56,0.513,-0.933,0.478,0.529,-0.936,0.737,1.009,-0.308,0.324,0.979,-0.317
4,0.526,0.593,-0.987,0.56,0.513,-0.926,0.477,0.529,-0.93,0.736,1.007,-0.302,0.322,0.973,-0.331
5,0.525,0.593,-0.998,0.56,0.513,-0.935,0.476,0.529,-0.94,0.735,1.005,-0.312,0.32,0.972,-0.345
6,0.525,0.592,-0.986,0.56,0.513,-0.923,0.476,0.528,-0.933,0.734,1.005,-0.289,0.32,0.971,-0.371
7,0.525,0.591,-1.005,0.56,0.512,-0.937,0.477,0.526,-0.947,0.733,1.006,-0.281,0.319,0.97,-0.371
8,0.525,0.589,-1.017,0.56,0.511,-0.95,0.476,0.525,-0.958,0.732,1.007,-0.289,0.318,0.97,-0.365
9,0.524,0.585,-1.018,0.56,0.508,-0.953,0.476,0.522,-0.959,0.732,1.009,-0.304,0.317,0.97,-0.367
10,0.524,0.584,-1.041,0.56,0.506,-0.974,0.476,0.522,-0.981,0.732,1.009,-0.31,0.317,0.97,-0.384
11,0.524,0.585,-1.033,0.56,0.506,-0.969,0.476,0.523,-0.975,0.734,1.009,-0.316,0.317,0.971,-0.377
12,0.524,0.587,-1.019,0.56,0.509,-0.956,0.476,0.523,-0.962,0.735,1.009,-0.309,0.317,0.971,-0.375
13,0.524,0.587,-1.007,0.561,0.509,-0.944,0.476,0.523,-0.949,0.736,1.009,-0.306,0.318,0.971,-0.358
14,0.524,0.585,-1.009,0.561,0.508,-0.944,0.477,0.522,-0.95,0.736,1.008,-0.303,0.32,0.971,-0.357
15,0.525,0.585,-1.016,0.562,0.507,-0.952,0.478,0.522,-0.957,0.736,1.007,-0.305,0.321,0.971,-0.356
16,0.525,0.588,-1.009,0.562,0.51,-0.946,0.478,0.523,-0.951,0.735,1.006,-0.295,0.321,0.97,-0.356
17,0.525,0.589,-1.008,0.562,0.512,-0.945,0.478,0.524,-0.95,0.734,1.006,-0.294,0.321,0.969,-0.339
18,0.525,0.591,-1.005,0.562,0.515,-0.944,0.479,0.526,-0.948,0.734,1.003,-0.267,0.322,0.97,-0.288
19,0.529,0.577,-1.105,0.566,0.503,-1.038,0.482,0.511,-1.045,0.741,1.001,-0.353,0.322,0.963,-0.402
20,0.533,0.559,-1.072,0.57,0.485,-1.006,0.484,0.496,-1.011,0.747,0.99,-0.345,0.322,0.95,-0.355
21,0.535,0.517,-1.091,0.572,0.446,-1.025,0.486,0.452,-1.029,0.747,0.965,-0.353,0.322,0.923,-0.37
22,0.537,0.475,-1.078,0.577,0.408,-1.014,0.487,0.413,-1.021,0.759,0.934,-0.35,0.323,0.905,-0.444
23,0.539,0.427,-1.104,0.579,0.349,-1.04,0.488,0.36,-1.048,0.775,0.899,-0.342,0.324,0.876,-0.468
24,0.54,0.386,-1.146,0.579,0.305,-1.082,0.491,0.319,-1.088,0.783,0.835,-0.34,0.325,0.826,-0.449
25,0.541,0.344,-1.154,0.581,0.263,-1.097,0.491,0.275,-1.095,0.791,0.818,-0.405,0.325,0.801,-0.452
26,0.541,0.354,-1.176,0.582,0.277,-1.112,0.491,0.285,-1.11,0.786,0.836,-0.423,0.323,0.804,-0.439
27,0.541,0.374,-1.169,0.581,0.294,-1.104,0.491,0.306,-1.104,0.785,0.845,-0.419,0.323,0.815,-0.437
28,0.541,0.381,-1.198,0.581,0.303,-1.131,0.491,0.313,-1.13,0.784,0.852,-0.418,0.32,0.817,-0.434
29,0.54,0.378,-1.204,0.58,0.298,-1.134,0.49,0.313,-1.134,0.783,0.857,-0.41,0.316,0.817,-0.432
30,0.539,0.372,-1.122,0.579,0.291,-1.053,0.488,0.308,-1.06,0.782,0.859,-0.36,0.311,0.82,-0.462
31,0.538,0.375,-1.102,0.578,0.296,-1.032,0.488,0.311,-1.041,0.778,0.857,-0.307,0.309,0.82,-0.456
32,0.537,0.375,-1.081,0.577,0.298,-1.013,0.488,0.31,-1.022,0.778,0.858,-0.285,0.307,0.819,-0.454
33,0.534,0.376,-1.081,0.576,0.297,-1.014,0.486,0.31,-1.023,0.778,0.859,-0.281,0.305,0.819,-0.47
34,0.533,0.375,-1.071,0.575,0.296,-1.005,0.485,0.308,-1.012,0.778,0.859,-0.294,0.305,0.818,-0.466
35,0.533,0.376,-1.039,0.575,0.297,-0.974,0.485,0.309,-0.983,0.777,0.86,-0.276,0.302,0.813,-0.463
36,0.532,0.377,-1.04,0.574,0.298,-0.975,0.485,0.31,-0.983,0.777,0.86,-0.271,0.302,0.81,-0.461
37,0.531,0.377,-0.922,0.574,0.298,-0.865,0.484,0.31,-0.87,0.776,0.86,-0.252,0.303,0.81,-0.425
38,0.531,0.378,-0.977,0.574,0.298,-0.916,0.484,0.309,-0.921,0.775,0.863,-0.26,0.303,0.81,-0.431
39,0.531,0.378,-0.968,0.574,0.298,-0.906,0.484,0.309,-0.912,0.775,0.863,-0.244,0.303,0.809,-0.43
40,0.531,0.377,-0.894,0.574,0.297,-0.836,0.484,0.307,-0.839,0.775,0.863,-0.249,0.303,0.808,-0.407
41,0.531,0.377,-0.862,0.574,0.298,-0.808,0.484,0.307,-0.811,0.773,0.863,-0.248,0.303,0.808,-0.39
42,0.531,0.377,-0.908,0.574,0.298,-0.848,0.484,0.306,-0.854,0.771,0.863,-0.238,0.302,0.809,-0.397
43,0.53,0.377,-0.89,0.573,0.298,-0.831,0.484,0.306,-0.838,0.769,0.864,-0.225,0.301,0.81,-0.399
44,0.529,0.377,-0.894,0.573,0.298,-0.836,0.483,0.306,-0.841,0.769,0.866,-0.226,0.3,0.81,-0.401
45,0.529,0.377,-0.904,0.572,0.298,-0.845,0.482,0.306,-0.851,0.769,0.867,-0.22,0.3,0.81,-0.402
46,0.528,0.377,-0.884,0.572,0.298,-0.826,0.482,0.306,-0.832,0.769,0.868,-0.213,0.3,0.81,-0.399
47,0.527,0.376,-0.872,0.571,0.298,-0.814,0.48,0.306,-0.818,0.769,0.87,-0.218,0.3,0.812,-0.399
48,0.526,0.375,-0.912,0.569,0.297,-0.85,0.478,0.306,-0.853,0.77,0.872,-0.235,0.299,0.814,-0.406
49,0.524,0.375,-0.899,0.568,0.297,-0.839,0.476,0.305,-0.841,0.771,0.873,-0.235,0.3,0.814,-0.397
50,0.524,0.374,-0.879,0.568,0.296,-0.821,0.476,0.305,-0.822,0.773,0.875,-0.234,0.3,0.815,-0.394
51,0.524,0.373,-0.75,0.568,0.295,-0.698,0.476,0.305,-0.698,0.773,0.875,-0.21,0.3,0.816,-0.355
52,0.524,0.372,-0.805,0.568,0.294,-0.749,0.476,0.304,-0.751,0.774,0.875,-0.212,0.3,0.816,-0.363
53,0.524,0.372,-0.825,0.568,0.294,-0.768,0.476,0.305,-0.77,0.773,0.876,-0.21,0.3,0.816,-0.368
54,0.524,0.372,-0.818,0.568,0.294,-0.762,0.477,0.306,-0.765,0.773,0.876,-0.208,0.3,0.817,-0.366
55,0.524,0.372,-0.823,0.568,0.294,-0.765,0.477,0.307,-0.768,0.773,0.877,-0.209,0.3,0.818,-0.366
56,0.524,0.372,-0.825,0.568,0.294,-0.767,0.477,0.307,-0.771,0.773,0.877,-0.209,0.3,0.819,-0.368
57,0.524,0.372,-0.798,0.568,0.294,-0.742,0.477,0.307,-0.746,0.773,0.877,-0.2,0.3,0.821,-0.365
58,0.524,0.372,-0.794,0.568,0.294,-0.739,0.477,0.307,-0.743,0.773,0.877,-0.199,0.3,0.822,-0.366
59,0.525,0.372,-0.802,0.568,0.294,-0.746,0.477,0.308,-0.75,0.773,0.877,-0.201,0.3,0.824,-0.368
60,0.525,0.372,-0.814,0.568,0.294,-0.756,0.477,0.308,-0.762,0.773,0.877,-0.202,0.3,0.824,-0.368
61,0.525,0.372,-0.808,0.568,0.294,-0.751,0.477,0.309,-0.757,0.773,0.877,-0.201,0.3,0.825,-0.369
62,0.525,0.372,-0.828,0.568,0.294,-0.769,0.477,0.309,-0.776,0.772,0.877,-0.2,0.3,0.825,-0.371
63,0.525,0.373,-0.817,0.567,0.295,-0.76,0.477,0.31,-0.765,0.772,0.878,-0.2,0.3,0.825,-0.369
64,0.525,0.374,-0.818,0.567,0.295,-0.761,0.477,0.311,-0.766,0.772,0.878,-0.201,0.3,0.825,-0.368
65,0.525,0.374,-0.854,0.567,0.295,-0.796,0.477,0.311,-0.8,0.772,0.878,-0.216,0.3,0.825,-0.375
66,0.524,0.375,-0.817,0.567,0.296,-0.763,0.476,0.312,-0.767,0.772,0.878,-0.207,0.3,0.825,-0.373
67,0.524,0.375,-0.784,0.567,0.296,-0.732,0.476,0.312,-0.734,0.771,0.878,-0.206,0.3,0.826,-0.364
68,0.524,0.375,-0.779,0.567,0.296,-0.727,0.476,0.312,-0.73,0.771,0.878,-0.206,0.3,0.827,-0.363
69,0.524,0.375,-0.825,0.567,0.296,-0.769,0.476,0.312,-0.773,0.771,0.88,-0.206,0.3,0.827,-0.375
70,0.525,0.375,-0.788,0.567,0.296,-0.731,0.476,0.312,-0.735,0.771,0.882,-0.197,0.3,0.829,-0.37
71,0.525,0.375,-0.786,0.567,0.296,-0.73,0.476,0.312,-0.735,0.771,0.883,-0.196,0.3,0.83,-0.37
72,0.525,0.374,-0.803,0.567,0.296,-0.746,0.476,0.312,-0.751,0.771,0.883,-0.2,0.3,0.831,-0.37
73,0.525,0.375,-0.804,0.567,0.296,-0.747,0.476,0.312,-0.751,0.772,0.883,-0.203,0.3,0.831,-0.37
74,0.524,0.375,-0.802,0.567,0.296,-0.746,0.476,0.312,-0.751,0.771,0.879,-0.198,0.3,0.83,-0.367
75,0.524,0.375,-0.802,0.567,0.296,-0.747,0.476,0.312,-0.751,0.771,0.878,-0.199,0.301,0.829,-0.367
76,0.525,0.375,-0.772,0.567,0.296,-0.719,0.477,0.312,-0.723,0.772,0.878,-0.185,0.302,0.828,-0.357
77,0.526,0.375,-0.749,0.569,0.296,-0.698,0.479,0.312,-0.702,0.773,0.879,-0.174,0.303,0.827,-0.355
78,0.527,0.375,-0.758,0.57,0.296,-0.705,0.48,0.312,-0.71,0.774,0.88,-0.162,0.303,0.827,-0.354
79,0.529,0.375,-0.851,0.571,0.296,-0.791,0.481,0.312,-0.799,0.774,0.881,-0.164,0.303,0.827,-0.394
80,0.53,0.375,-0.839,0.572,0.296,-0.779,0.483,0.312,-0.787,0.774,0.883,-0.167,0.303,0.827,-0.39
81,0.53,0.375,-0.84,0.572,0.296,-0.78,0.484,0.311,-0.788,0.774,0.884,-0.164,0.303,0.827,-0.388
82,0.531,0.375,-0.838,0.572,0.296,-0.777,0.485,0.311,-0.786,0.773,0.884,-0.164,0.302,0.827,-0.391
83,0.532,0.375,-0.754,0.573,0.296,-0.698,0.486,0.311,-0.707,0.772,0.884,-0.153,0.302,0.826,-0.371
84,0.532,0.375,-0.718,0.574,0.296,-0.661,0.487,0.31,-0.669,0.772,0.883,-0.133,0.303,0.826,-0.349
85,0.533,0.375,-0.734,0.574,0.296,-0.677,0.487,0.31,-0.685,0.772,0.884,-0.133,0.302,0.825,-0.35
86,0.533,0.375,-0.744,0.574,0.296,-0.687,0.487,0.31,-0.695,0.772,0.884,-0.134,0.302,0.826,-0.351
87,0.534,0.376,-0.773,0.575,0.296,-0.714,0.487,0.31,-0.725,0.772,0.884,-0.137,0.302,0.825,-0.367
88,0.535,0.376,-0.748,0.575,0.296,-0.692,0.488,0.31,-0.701,0.771,0.884,-0.139,0.302,0.825,-0.36
89,0.538,0.377,-0.727,0.576,0.298,-0.671,0.49,0.311,-0.682,0.77,0.884,-0.134,0.302,0.823,-0.356
90,0.539,0.379,-0.734,0.576,0.299,-0.678,0.491,0.312,-0.688,0.768,0.883,-0.134,0.302,0.82,-0.354
91,0.54,0.379,-0.731,0.577,0.299,-0.676,0.492,0.312,-0.686,0.767,0.883,-0.135,0.302,0.818,-0.351
92,0.542,0.379,-0.716,0.578,0.299,-0.661,0.494,0.312,-0.673,0.766,0.883,-0.135,0.301,0.815,-0.349
93,0.544,0.378,-0.687,0.579,0.299,-0.634,0.495,0.312,-0.646,0.765,0.881,-0.13,0.301,0.814,-0.337
94,0.545,0.378,-0.652,0.58,0.299,-0.598,0.496,0.311,-0.61,0.764,0.88,-0.108,0.301,0.813,-0.309
95,0.546,0.377,-0.65,0.581,0.298,-0.597,0.497,0.31,-0.609,0.764,0.879,-0.108,0.301,0.812,-0.308
96,0.548,0.377,-0.661,0.582,0.298,-0.607,0.498,0.31,-0.614,0.764,0.876,-0.108,0.301,0.812,-0.313
97,0.55,0.377,-0.658,0.582,0.298,-0.605,0.499,0.31,-0.617,0.761,0.875,-0.11,0.301,0.811,-0.314
98,0.55,0.377,-0.667,0.583,0.298,-0.613,0.499,0.31,-0.624,0.761,0.874,-0.111,0.301,0.811,-0.317
99,0.55,0.378,-0.655,0.583,0.299,-0.602,0.499,0.31,-0.614,0.76,0.874,-0.11,0.301,0.811,-0.311
100,0.55,0.382,-0.657,0.583,0.302,-0.604,0.5,0.313,-0.619,0.758,0.872,-0.105,0.301,0.811,-0.311
101,0.55,0.383,-0.662,0.583,0.303,-0.609,0.5,0.314,-0.623,0.757,0.871,-0.106,0.301,0.811,-0.312
102,0.549,0.384,-0.687,0.583,0.304,-0.632,0.5,0.314,-0.646,0.757,0.867,-0.106,0.301,0.81,-0.312
103,0.548,0.386,-0.738,0.583,0.305,-0.681,0.499,0.316,-0.695,0.757,0.863,-0.113,0.301,0.81,-0.328
104,0.546,0.388,-0.769,0.582,0.307,-0.712,0.499,0.318,-0.726,0.757,0.86,-0.125,0.301,0.81,-0.341
105,0.546,0.39,-0.788,0.582,0.308,-0.73,0.499,0.32,-0.746,0.757,0.86,-0.127,0.301,0.811,-0.353
106,0.545,0.392,-0.781,0.582,0.309,-0.723,0.498,0.322,-0.738,0.757,0.86,-0.129,0.301,0.811,-0.353
107,0.545,0.392,-0.831,0.582,0.309,-0.77,0.498,0.322,-0.787,0.757,0.859,-0.138,0.301,0.811,-0.379
108,0.545,0.392,-0.807,0.582,0.309,-0.748,0.498,0.323,-0.763,0.757,0.86,-0.137,0.301,0.812,-0.374
109,0.545,0.393,-0.82,0.582,0.309,-0.76,0.497,0.323,-0.776,0.757,0.859,-0.142,0.301,0.812,-0.374
110,0.544,0.393,-0.846,0.582,0.309,-0.785,0.497,0.324,-0.8,0.758,0.86,-0.148,0.302,0.813,-0.384
111,0.544,0.393,-0.828,0.582,0.309,-0.768,0.497,0.324,-0.783,0.759,0.864,-0.154,0.302,0.814,-0.385
112,0.544,0.393,-0.751,0.582,0.309,-0.701,0.497,0.324,-0.707,0.76,0.865,-0.169,0.302,0.814,-0.368
113,0.544,0.394,-0.791,0.582,0.31,-0.736,0.497,0.324,-0.744,0.763,0.87,-0.175,0.302,0.816,-0.385
